w_u,adam_epochs,lbfgs_epochs,architecture,T_mse,T_rel_l2,T_nrmse,u_mse,u_rel_l2,u_nrmse
1.0,3000,0,64-64-64-64-64-64,0.0006915018880108555,0.26560826278384286,0.026296423483258242,6.953027968540986e-06,10.198901520143211,0.578606786572237
1.0,3000,30,64-64-64-64-64-64,0.00077379157628745,0.28096802260880066,0.02781710941646256,8.483085494266487e-07,3.5624053314688426,0.20210332428820701
1.0,6000,0,64-64-64-64-64-64,0.0004989037976417815,0.22560737951943297,0.022336154495386656,1.0018505702482939e-06,3.87139856708973,0.21963321050017318
1.0,6000,30,64-64-64-64-64-64,0.0004817819665837348,0.22170228347294224,0.021949532263438664,8.637658816558245e-07,3.5947147437583262,0.2039363104371499
30.0,3000,0,64-64-64-64-64-64,0.009608689489465434,0.9900952472973044,0.09802392304670036,1.230111218724308e-07,1.3565587275117224,0.07696064959268854
30.0,3000,30,64-64-64-64-64-64,0.006958772515099004,0.8425801353043174,0.08341925745952791,1.1454307115756624e-05,13.090336835492858,0.7426444619132228
30.0,6000,0,64-64-64-64-64-64,0.0015201921220279382,0.39381670576290734,0.03898964121440383,1.8852508548369824e-07,1.6793877590302921,0.09527547184783705
30.0,6000,30,64-64-64-64-64-64,0.0014515056046032727,0.38481700463090374,0.038098629957037465,1.6079340844120247e-07,1.5509597624668057,0.08798946067783552
100.0,3000,0,64-64-64-64-64-64,0.0191434975626799,1.397511981243599,0.13836002877522072,1.7593008732627062e-07,1.6223198021751177,0.09203787738072705
100.0,3000,30,64-64-64-64-64-64,0.01736477404513412,1.3310043183028015,0.13177546829791242,7.074517490031219e-07,3.2532304036565427,0.18456313026663887
100.0,6000,0,64-64-64-64-64-64,0.021655343842338862,1.4863717350209333,0.14715754769069395,1.6773004080542414e-07,1.58406076211591,0.08986735537085419
100.0,6000,30,64-64-64-64-64-64,0.01974975889710063,1.4194686175216047,0.14053383541731376,4.368594202973594e-07,2.556449762394432,0.1450331860868512